SourceFile,SearchKey,ODSCode,OrganisationName,UpdateIndex,ServiceCode,Key,LastUpdatedDate
page_000025.json,X10001,FNC19,H J EVERETT,1,SRV2014,FluJabLink,2025-09-09T12:05:40.003Z
page_000025.json,X10001,FNC19,H J EVERETT,2,SRV0514,FluJabLink,2025-09-09T12:05:58.14Z
page_000025.json,X10001,FNC19,H J EVERETT,3,SRV0514,OnlineBooking,2025-09-09T12:05:58.13Z
page_000025.json,X10001,FNC19,H J EVERETT,4,SRV0277,OnlineBooking,2024-12-17T11:05:34.403Z
page_000025.json,X10003,FNC29,Parry Jones Pharmacy,1,SRV0514,OnlineBooking,2025-08-25T12:03:17.58Z
page_000025.json,X10003,FNC29,Parry Jones Pharmacy,2,SRV0277,OnlineBooking,2024-09-23T21:26:16.61Z
page_000025.json,X10006,FNC48,Asda Pharmacy,1,SRV2014,FluJabLink,2025-09-30T12:33:31.383Z
page_000025.json,X10006,FNC48,Asda Pharmacy,2,SRV0514,FluJabLink,2025-09-30T12:33:05.383Z
page_000025.json,X10006,FNC48,Asda Pharmacy,3,SRV0514,OnlineBooking,2025-09-30T12:33:05.373Z
page_000025.json,X10006,FNC48,Asda Pharmacy,4,SRV0277,FluJabLink,2025-06-24T10:58:10.75Z
page_000025.json,X10006,FNC48,Asda Pharmacy,5,SRV0277,OnlineBooking,2025-06-24T10:58:10.73Z
page_000025.json,X10009,FNC75,Boots,1,SRV0514,FluJabLink,2025-06-21T05:46:42.467Z
page_000025.json,X10009,FNC75,Boots,2,SRV0514,OnlineBooking,2025-06-21T05:46:42.453Z
page_000025.json,X10009,FNC75,Boots,3,SRV0277,FluJabLink,2025-06-21T05:45:47.343Z
page_000025.json,X10009,FNC75,Boots,4,SRV0277,OnlineBooking,2025-06-21T05:45:47.333Z
page_000025.json,X10010,FNC77,SHADFORTH PHARMACEUTICAL CO LTD,1,SRV0514,FluJabLink,2024-09-17T10:56:02.85Z
page_000025.json,X10010,FNC77,SHADFORTH PHARMACEUTICAL CO LTD,2,SRV0514,OnlineBooking,2024-09-17T10:56:02.837Z
page_000025.json,X10010,FNC77,SHADFORTH PHARMACEUTICAL CO LTD,3,SRV0277,OnlineBooking,2024-12-30T10:58:18.403Z
page_000025.json,X10012,FNC81,Boustead Pharmacy,1,SRV0514,FluJabLink,2025-08-25T08:18:18.3Z
page_000025.json,X10012,FNC81,Boustead Pharmacy,2,SRV0514,OnlineBooking,2025-08-25T08:18:18.287Z
page_000025.json,X10012,FNC81,Boustead Pharmacy,3,SRV0277,OnlineBooking,2024-12-11T09:24:13.407Z
page_000025.json,X10013,FNC84,Rowlands Pharmacy,1,SRV2014,FluJabLink,2025-09-17T12:42:58.227Z
page_000025.json,X10015,FNC86,Abbey Pharmacy,1,SRV0277,OnlineBooking,2025-06-23T20:30:03.53Z
page_000025.json,X10020,FND05,K-Chem Ltd,1,SRV0277,OnlineBooking,2025-06-23T19:56:19.243Z
page_000025.json,X10025,FND47,WELL,1,SRV0514,FluJabLink,2023-10-09T12:45:26.787Z
page_000025.json,X10025,FND47,WELL,2,SRV0514,OnlineBooking,2023-10-09T12:45:26.777Z
page_000025.json,X10025,FND47,WELL,3,SRV0277,FluJabLink,2023-10-09T12:45:26.267Z
